IDE000010240000300ADMINISTRATION      Administration
IDE000006518001001COMMON              Common
IDE000010240000101CONTROLS            Control Components
IDE000010240000900EXECUTIVE INFORMATN Executive Information Systems
IDE000010240000600FINANCIAL CONTROL   Budgeting & Accounting
IDE000010240000400HUMAN RESOURCES     Personnel & Payroll
IDE000010240001101IMPORT COLLECTION   Import Collection
IDE000010240000201INTERNAL SYSTEM     Internal System Components
IDE000010240000500MANUFACTURING       Purchasing & Scheduling
IDE000010240000700SALES & MARKETING   Sales & Marketing
IDE000010240000800WAREHOUSING         Inventory Control & Dispatch
